date,open,high,low,close,change
2014-12-11,2359.7,2383.0,2359.7,2383.0,0.01
2014-12-12,2394.5,2394.5,2382.3,2382.3,-0.03
2014-12-15,2381.5,2384.8,2381.5,2384.8,0.1
2014-12-16,2382.9,2384.7,2382.9,2384.7,0.0
2014-12-17,2393.3,2393.3,2385.4,2385.4,0.03
2014-12-18,2409.2,2409.2,2387.3,2387.3,0.08
2014-12-19,2392.7,2392.7,2385.3,2385.3,-0.08
2014-12-22,2392.6,2392.6,2386.9,2388.9,0.15
2014-12-23,2396.1,2396.1,2390.6,2390.6,0.07
2014-12-24,2397.3,2397.3,2389.6,2389.6,-0.04
2014-12-25,2397.3,2397.3,2389.6,2390.6,0.04
2014-12-26,2397.3,2397.3,2389.6,2390.6,0.0
2014-12-29,2392.3,2393.4,2391.5,2393.4,0.12
2014-12-30,2400.3,2400.3,2395.9,2395.9,0.1
2014-12-31,2395.0,2395.0,2393.8,2393.8,-0.09
2015-01-01,2404.9,2404.9,2404.9,2404.9,0.46
2015-01-02,2411.3,2411.3,2394.0,2394.0,-0.45
2015-01-05,2411.8,2411.8,2394.3,2394.3,0.01
2015-01-06,2387.5,2394.4,2387.5,2394.4,0.0
2015-01-07,2398.8,2398.8,2392.5,2392.5,-0.08
2015-01-08,2391.3,2396.1,2391.3,2396.1,0.15
2015-01-09,2389.9,2393.6,2389.9,2393.6,-0.1
2015-01-12,2383.2,2396.3,2383.2,2396.3,0.11
2015-01-13,2385.7,2394.6,2385.7,2394.6,-0.07
2015-01-14,2399.8,2399.8,2393.6,2393.6,-0.04
2015-01-15,2389.7,2394.9,2389.7,2394.9,0.05
2015-01-16,2409.3,2409.3,2393.4,2393.4,-0.06
2015-01-19,2399.4,2399.4,2398.2,2398.2,0.2
2015-01-20,2400.9,2400.9,2398.7,2398.7,0.02
2015-01-21,2406.0,2406.0,2400.1,2400.1,0.06
2015-01-22,2394.5,2399.1,2394.5,2399.1,-0.04
2015-01-23,2456.4,2456.4,2391.4,2391.4,-0.32
2015-01-26,2397.2,2404.7,2388.5,2404.7,0.56
2015-01-27,2402.5,2404.0,2402.5,2404.0,-0.03
2015-01-28,2390.6,2404.8,2390.6,2404.8,0.03
2015-01-29,2420.1,2420.1,2405.2,2405.9,0.05
2015-01-30,2401.7,2415.7,2401.7,2415.7,0.41
2015-02-02,2409.3,2412.6,2409.3,2411.9,-0.16
2015-02-03,2408.1,2408.4,2408.1,2408.4,-0.15
2015-02-04,2385.5,2419.3,2385.5,2419.3,0.45
2015-02-05,2438.9,2438.9,2413.0,2413.0,-0.26
2015-02-06,2404.8,2413.4,2404.8,2413.4,0.02
2015-02-09,2441.0,2441.0,2415.5,2415.5,0.09
2015-02-10,2412.3,2427.8,2412.3,2427.8,0.51
2015-02-11,2419.2,2436.9,2419.2,2436.9,0.37
2015-02-12,2437.0,2437.2,2434.0,2434.0,-0.12
2015-02-13,2425.4,2425.4,2420.2,2420.2,-0.57
2015-02-16,2421.4,2424.4,2421.4,2424.4,0.17
2015-02-17,2442.4,2442.4,2426.3,2426.3,0.08
2015-02-18,2431.2,2431.2,2423.5,2423.5,-0.12
2015-02-19,2418.1,2430.2,2418.1,2430.2,0.28
2015-02-20,2436.0,2436.0,2431.5,2431.5,0.05
2015-02-23,2422.3,2429.2,2422.3,2429.2,-0.09
2015-02-24,2423.8,2433.1,2423.8,2433.1,0.16
2015-02-25,2428.2,2434.0,2428.2,2434.0,0.04
2015-02-26,2430.1,2435.1,2430.1,2435.1,0.05
2015-02-27,2464.2,2464.2,2437.8,2437.8,0.11
2015-03-02,2450.7,2450.7,2435.4,2435.4,-0.1
2015-03-03,2444.7,2444.7,2438.3,2438.3,0.12
2015-03-04,2433.7,2438.0,2433.7,2438.0,-0.01
2015-03-05,2449.5,2449.5,2433.4,2433.4,-0.19
2015-03-06,2439.8,2439.8,2431.2,2431.2,-0.09
2015-03-09,2453.6,2453.6,2439.6,2439.6,0.35
2015-03-10,2446.2,2446.2,2440.3,2440.3,0.03
2015-03-11,2449.2,2449.2,2440.5,2440.5,0.01
2015-03-12,2452.9,2452.9,2439.0,2439.0,-0.06
2015-03-13,2444.4,2445.3,2438.7,2438.7,-0.01
2015-03-16,2456.1,2456.1,2443.8,2443.8,0.21
2015-03-17,2436.8,2446.2,2436.8,2446.2,0.1
2015-03-18,2452.4,2452.4,2447.6,2447.6,0.06
2015-03-19,2383.1,2445.9,2383.1,2445.9,-0.07
2015-03-20,2450.7,2450.7,2442.3,2442.3,-0.15
2015-03-23,2426.6,2445.0,2426.6,2445.0,0.11
2015-03-24,2436.3,2451.7,2436.3,2451.7,0.27
2015-03-25,2436.3,2451.7,2436.3,2445.0,-0.27
2015-03-26,2455.4,2455.4,2447.5,2447.5,0.1
2015-03-27,2471.0,2471.0,2451.6,2451.6,0.17
2015-03-30,2452.1,2455.8,2448.9,2455.8,0.17
2015-03-31,2458.6,2458.6,2455.8,2456.4,0.02
2015-04-01,2462.0,2462.0,2462.0,2462.0,0.23
2015-04-02,2459.5,2459.5,2445.7,2445.7,-0.66
2015-04-03,2446.4,2446.4,2446.4,2446.4,0.03
2015-04-06,2419.9,2423.7,2419.3,2423.7,-0.93
2015-04-07,2430.7,2467.0,2430.7,2467.0,1.79
2015-04-08,2475.4,2475.4,2463.1,2463.1,-0.16
2015-04-09,2482.1,2482.1,2461.0,2461.0,-0.09
2015-04-10,2484.7,2484.7,2460.4,2460.4,-0.02
2015-04-13,2454.6,2457.9,2454.6,2456.6,-0.15
2015-04-14,2445.4,2470.6,2445.4,2470.6,0.57
2015-04-15,2453.7,2470.0,2453.7,2470.0,-0.02
2015-04-16,2449.6,2466.9,2449.6,2455.8,-0.57
2015-04-17,2472.4,2472.4,2472.4,2472.4,0.68
2015-04-20,2473.2,2473.2,2473.2,2473.2,0.03
2015-04-21,2470.3,2475.6,2470.3,2475.6,0.1
2015-04-22,2462.2,2473.7,2462.2,2473.7,-0.08
2015-04-23,2483.1,2483.1,2472.2,2472.2,-0.06
2015-04-24,2456.4,2456.4,2450.6,2450.6,-0.87
2015-04-27,2454.4,2454.4,2454.4,2454.4,0.16
2015-04-28,2446.0,2453.4,2446.0,2453.4,-0.04
2015-04-29,2445.9,2453.6,2445.9,2453.6,0.01
2015-04-30,2426.8,2452.2,2426.8,2452.2,-0.06
2015-05-01,2447.9,2447.9,2445.8,2445.8,-0.26
2015-05-04,2452.8,2452.8,2451.9,2451.9,0.25
2015-05-05,2450.7,2451.2,2450.7,2451.2,-0.03
2015-05-06,2439.1,2485.1,2439.1,2485.1,1.38
2015-05-07,2461.8,2487.7,2461.8,2487.7,0.1
2015-05-08,2505.5,2505.5,2480.3,2480.3,-0.3
2015-05-11,2484.5,2489.9,2484.5,2489.9,0.39
2015-05-12,2493.4,2495.3,2493.4,2495.3,0.22
2015-05-13,2502.0,2502.0,2489.3,2489.3,-0.24
2015-05-14,2462.8,2492.3,2462.8,2492.3,0.12
2015-05-15,2495.5,2495.5,2491.1,2491.1,-0.05
2015-05-18,2474.0,2498.0,2472.7,2498.0,0.28
2015-05-19,2517.2,2517.2,2497.2,2497.2,-0.03
2015-05-20,2511.9,2511.9,2495.6,2495.6,-0.06
2015-05-21,2495.5,2499.4,2495.5,2499.4,0.15
2015-05-22,2511.2,2511.2,2496.5,2496.5,-0.12
2015-05-25,2540.0,2540.0,2490.3,2490.3,-0.25
2015-05-26,2492.4,2499.0,2492.4,2499.0,0.35
2015-05-27,2506.2,2506.2,2498.6,2498.6,-0.02
2015-05-28,2496.5,2499.6,2496.5,2499.6,0.04
2015-05-29,2491.8,2501.9,2491.8,2501.9,0.09
2015-06-01,2503.2,2504.9,2497.9,2497.9,-0.16
2015-06-02,2497.4,2502.6,2497.4,2502.6,0.19
2015-06-03,2477.3,2505.7,2477.3,2505.7,0.12
2015-06-04,2474.2,2499.9,2474.2,2499.9,-0.23
2015-06-05,2529.8,2529.8,2497.5,2497.5,-0.1
2015-06-08,2525.3,2527.9,2508.8,2508.8,0.45
2015-06-09,2478.1,2509.3,2478.1,2509.3,0.02
2015-06-10,2504.9,2508.5,2504.9,2508.5,-0.03
2015-06-11,2505.6,2509.3,2503.7,2509.3,0.03
2015-06-12,2513.8,2513.8,2507.8,2507.8,-0.06
2015-06-15,2499.3,2515.7,2499.3,2515.7,0.32
2015-06-16,2503.0,2516.5,2503.0,2516.5,0.03
2015-06-17,2520.9,2520.9,2506.6,2506.6,-0.39
2015-06-18,2484.4,2507.6,2484.4,2507.6,0.04
2015-06-19,2514.7,2514.7,2501.3,2501.3,-0.25
2015-06-22,2498.7,2518.3,2498.7,2515.1,0.55
2015-06-23,2519.3,2519.5,2519.3,2519.5,0.17
2015-06-24,2528.0,2528.0,2519.2,2519.2,-0.01
2015-06-25,2518.0,2518.7,2518.0,2518.7,-0.02
2015-06-26,2517.5,2525.0,2517.5,2525.0,0.25
2015-06-29,2574.8,2574.8,2525.6,2525.6,0.02
2015-06-30,2504.1,2524.9,2504.1,2524.9,-0.03
2015-07-01,2534.6,2534.6,2524.8,2524.8,0.0
2015-07-02,2541.2,2541.2,2519.9,2519.9,-0.19
2015-07-03,2529.7,2529.7,2529.7,2529.7,0.39
2015-07-06,2549.5,2549.5,2528.6,2528.6,-0.04
2015-07-07,2525.3,2533.6,2525.3,2533.6,0.2
2015-07-08,2524.4,2530.2,2524.4,2530.2,-0.13
2015-07-09,2518.0,2529.3,2516.9,2529.3,-0.04
2015-07-10,2526.1,2526.1,2524.7,2524.7,-0.18
2015-07-13,2541.6,2541.6,2522.5,2522.5,-0.09
2015-07-14,2543.7,2543.7,2531.6,2531.6,0.36
2015-07-15,2538.3,2538.3,2533.2,2533.2,0.06
2015-07-16,2551.9,2551.9,2535.0,2535.0,0.07
2015-07-17,2537.2,2537.2,2532.4,2532.4,-0.1
2015-07-20,2545.3,2545.3,2538.0,2538.0,0.22
2015-07-21,2538.9,2538.9,2527.7,2527.7,-0.41
2015-07-22,2509.8,2542.1,2509.8,2542.1,0.57
2015-07-23,2541.7,2541.7,2538.0,2538.0,-0.16
2015-07-24,2539.4,2540.1,2539.4,2540.1,0.08
2015-07-27,2534.2,2540.1,2534.2,2540.1,0.0
2015-07-28,2536.9,2540.7,2536.9,2540.7,0.02
2015-07-29,2533.2,2545.2,2533.2,2545.2,0.18
